time,f_inst_Hz
11.0400,0.914000
11.0500,0.914375
11.0600,0.914750
11.0700,0.915125
11.0800,0.915500
11.0900,0.915875
11.1000,0.916250
11.1100,0.916625
11.1200,0.917000
11.1300,0.917375
11.1400,0.917750
11.1500,0.918125
11.1600,0.918500
11.1700,0.918875
11.1800,0.919250
11.1900,0.919625
11.2000,0.920000
11.2100,0.920375
11.2200,0.920750
11.2300,0.921125
11.2400,0.921500
11.2500,0.921875
11.2600,0.922250
11.2700,0.922625
11.2800,0.923000
11.2900,0.923375
11.3000,0.923750
11.3100,0.924125
11.3200,0.924500
11.3300,0.924875
11.3400,0.925250
11.3500,0.925625
11.3600,0.926000
11.3700,0.926375
11.3800,0.926750
11.3900,0.927125
11.4000,0.927500
11.4100,0.927875
11.4200,0.928250
11.4300,0.928625
11.4400,0.929000
11.4500,0.929375
11.4600,0.929750
11.4700,0.930125
11.4800,0.930500
11.4900,0.930875
11.5000,0.931250
11.5100,0.931625
11.5200,0.932000
11.5300,0.932375
11.5400,0.932750
11.5500,0.933125
11.5600,0.933500
11.5700,0.933875
11.5800,0.934250
11.5900,0.934625
11.6000,0.935000
11.6100,0.935375
11.6200,0.935750
11.6300,0.936125
11.6400,0.936500
11.6500,0.936875
11.6600,0.937250
11.6700,0.937625
11.6800,0.938000
11.6900,0.938375
11.7000,0.938750
11.7100,0.939125
11.7200,0.939500
11.7300,0.939875
11.7400,0.940250
11.7500,0.940625
11.7600,0.941000
11.7700,0.941375
11.7800,0.941750
11.7900,0.942125
11.8000,0.942500
11.8100,0.942875
11.8200,0.943250
11.8300,0.943625
11.8400,0.944000
11.8500,0.944375
11.8600,0.944750
11.8700,0.945125
11.8800,0.945500
11.8900,0.945875
11.9000,0.946250
11.9100,0.946625
11.9200,0.947000
11.9300,0.947375
11.9400,0.947750
11.9500,0.948125
11.9600,0.948500
11.9700,0.948875
11.9800,0.949250
11.9900,0.949625
12.0000,0.950000
12.0100,0.950375
12.0200,0.950750
12.0300,0.951125
12.0400,0.951500
12.0500,0.951875
12.0600,0.952250
12.0700,0.952625
12.0800,0.953000
12.0900,0.953375
12.1000,0.953750
12.1100,0.954125
12.1200,0.954500
12.1300,0.954875
12.1400,0.955250
12.1500,0.955625
12.1600,0.956000
12.1700,0.956375
12.1800,0.956750
12.1900,0.957125
12.2000,0.957500
12.2100,0.957875
12.2200,0.958250
12.2300,0.958625
12.2400,0.959000
12.2500,0.959375
12.2600,0.959750
12.2700,0.960125
12.2800,0.960500
12.2900,0.960875
12.3000,0.961250
12.3100,0.961625
12.3200,0.962000
12.3300,0.962375
12.3400,0.962750
12.3500,0.963125
12.3600,0.963500
12.3700,0.963875
12.3800,0.964250
12.3900,0.964625
12.4000,0.965000
12.4100,0.965375
12.4200,0.965750
12.4300,0.966125
12.4400,0.966500
12.4500,0.966875
12.4600,0.967250
12.4700,0.967625
12.4800,0.968000
12.4900,0.968375
12.5000,0.968750
12.5100,0.969125
12.5200,0.969500
12.5300,0.969875
12.5400,0.970250
12.5500,0.970625
12.5600,0.971000
12.5700,0.971375
12.5800,0.971750
12.5900,0.972125
12.6000,0.972500
12.6100,0.972875
12.6200,0.973250
12.6300,0.973625
12.6400,0.974000
12.6500,0.974375
12.6600,0.974750
12.6700,0.975125
12.6800,0.975500
12.6900,0.975875
12.7000,0.976250
12.7100,0.976625
12.7200,0.977000
12.7300,0.977375
12.7400,0.977750
12.7500,0.978125
12.7600,0.978500
12.7700,0.978875
12.7800,0.979250
12.7900,0.979625
12.8000,0.980000
12.8100,0.980375
12.8200,0.980750
12.8300,0.981125
12.8400,0.981500
12.8500,0.981875
12.8600,0.982250
12.8700,0.982625
12.8800,0.983000
12.8900,0.983375
12.9000,0.983750
12.9100,0.984125
12.9200,0.984500
12.9300,0.984875
12.9400,0.985250
12.9500,0.985625
12.9600,0.986000
12.9700,0.986375
12.9800,0.986750
12.9900,0.987125
13.0000,0.987500
13.0100,0.987875
13.0200,0.988250
13.0300,0.988625
13.0400,0.989000
13.0500,0.989375
13.0600,0.989750
13.0700,0.990125
13.0800,0.990500
13.0900,0.990875
13.1000,0.991250
13.1100,0.991625
13.1200,0.992000
13.1300,0.992375
13.1400,0.992750
13.1500,0.993125
13.1600,0.993500
13.1700,0.993875
13.1800,0.994250
13.1900,0.994625
13.2000,0.995000
13.2100,0.995375
13.2200,0.995750
13.2300,0.996125
13.2400,0.996500
13.2500,0.996875
13.2600,0.997250
13.2700,0.997625
13.2800,0.998000
13.2900,0.998375
13.3000,0.998750
13.3100,0.999125
13.3200,0.999500
13.3300,0.999875
13.3400,1.000250
13.3500,1.000625
13.3600,1.001000
13.3700,1.001375
13.3800,1.001750
13.3900,1.002125
13.4000,1.002500
13.4100,1.002875
13.4200,1.003250
13.4300,1.003625
13.4400,1.004000
13.4500,1.004375
13.4600,1.004750
13.4700,1.005125
13.4800,1.005500
13.4900,1.005875
13.5000,1.006250
13.5100,1.006625
13.5200,1.007000
13.5300,1.007375
13.5400,1.007750
13.5500,1.008125
13.5600,1.008500
13.5700,1.008875
13.5800,1.009250
13.5900,1.009625
13.6000,1.010000
13.6100,1.010375
13.6200,1.010750
13.6300,1.011125
13.6400,1.011500
13.6500,1.011875
13.6600,1.012250
13.6700,1.012625
13.6800,1.013000
13.6900,1.013375
13.7000,1.013750
13.7100,1.014125
13.7200,1.014500
13.7300,1.014875
13.7400,1.015250
13.7500,1.015625
13.7600,1.016000
13.7700,1.016375
13.7800,1.016750
13.7900,1.017125
13.8000,1.017500
13.8100,1.017875
13.8200,1.018250
13.8300,1.018625
13.8400,1.019000
13.8500,1.019375
13.8600,1.019750
13.8700,1.020125
13.8800,1.020500
13.8900,1.020875
13.9000,1.021250
13.9100,1.021625
13.9200,1.022000
13.9300,1.022375
13.9400,1.022750
